#,Device ID,Cluster,Building,Zone,Lane,Direction,IP,Serial,Secret Code
1,176,CABINET,الأمانة العامة لرئاسة مجلس الوزراء,Zone 2,4,IN,10.254.234.112,2125SMP0002587,DSC-FBE8-82B2-EAE0-C4D1
2,176 (مكرر),CABINET,الأمانة العامة لرئاسة مجلس الوزراء,Zone 2,5,IN,10.254.234.113,2203SMP6923734,DSC-12AA-FC3D-E437-97F5
3,172,CABINET,الأمانة العامة لرئاسة مجلس الوزراء,Zone 4,4,IN,10.254.234.103,2238SMP0000186,DSC-2D0D-1596-6353-8B64
4,351,CABINET,الأمانة العامة لرئاسة مجلس الوزراء,Zone 5,4,OUT,10.254.234.12,مهنجة,DSC-ABE7-EF2B-4153-C97F
5,168,CABINET,الأمانة العامة لرئاسة مجلس الوزراء,Zone 5,7,IN,10.254.234.19,2142SMP0000917,DSC-6D4F-849D-35AC-42A6
6,362,CABINET,الأمانة العامة لرئاسة مجلس الوزراء,Zone2,5,OUT,10.254.234.118,2143SMP0001331,DSC-8A1B-BDC3-49A5-F4BC
7,358,CABINET,الأمانة العامة لرئاسة مجلس الوزراء,Zone4,1,OUT,10.254.234.104,2234SMP0001437,DSC-0BFC-FEA9-75E5-FC7F
8,357,CABINET,الأمانة العامة لرئاسة مجلس الوزراء,Zone4,2,OUT,10.254.234.105,2234SMP0002340,DSC-0A33-8861-A443-1C27
9,356,CABINET,الأمانة العامة لرئاسة مجلس الوزراء,Zone4,3,OUT,10.254.234.106,2238SMP0000223,DSC-C94B-7721-E21E-7924
10,355,CABINET,الأمانة العامة لرئاسة مجلس الوزراء,Zone4,4,OUT,10.254.234.108,2234SMP0000944,DSC-A70C-234A-2A0B-F78D
11,355 (مكرر),CABINET,الأمانة العامة لرئاسة مجلس الوزراء,Zone4,5,OUT,10.254.234.107,2101SMP6792076,DSC-0244-616D-7979-D7E6
12,1542,17A.18A,الاعتماد والرقابه الصحيه,Zone 10 plaza right,1,OUT,10.254.222.157,2147smp0001092,DSC-9C82-57E0-D75F-A991
13,1543,17A.18A,الاعتماد والرقابه الصحيه,Zone 10 plaza right,2,OUT,10.254.222.158,2124smp0001309,DSC-BB4D-0079-9DCD-7AC1
14,1544,17A.18A,الاعتماد والرقابه الصحيه,Zone 10 plaza right,3,OUT,10.254.222.159,2143smp0000848,DSC-EC43-584E-6EF8-615C
