"id","technicianId","inspectedAt","createdAt","deviceId","gateId","taskId","inspectionStatus","deviceCode","deviceName","serialNumber","ipAddress","gateCluster","gateBuilding","gateZone","gateDirection","issueReason","notes"
"4399","51","""2026-07-26T09:41:31.263Z""","""2026-07-26T09:41:31.263Z""","768","","","OK","630","Morpho md","2125SMP0000266","10.254.218.119","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4400","51","""2026-07-26T09:42:51.707Z""","""2026-07-26T09:42:51.707Z""","769","","","OK","631","Morpho md","2120SMP0000384","10.254.218.120","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4401","51","""2026-07-26T09:43:35.164Z""","""2026-07-26T09:43:35.164Z""","770","","","OK","632","Morpho md","2147SMP0000325","10.254.218.121","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4402","51","""2026-07-26T09:44:06.162Z""","""2026-07-26T09:44:06.162Z""","771","","","OK","633","Morpho md","2143SMP0001461","10.254.218.122","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4403","51","""2026-07-26T09:44:33.808Z""","""2026-07-26T09:44:33.808Z""","772","","","OK","634","Morpho md","2143SMP0000350","10.254.218.123","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4404","51","""2026-07-26T09:45:22.604Z""","""2026-07-26T09:45:22.604Z""","773","","","OK","635","Morpho md","2125SMP0001322","10.254.218.124","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4406","51","""2026-07-26T09:46:00.023Z""","""2026-07-26T09:46:00.023Z""","774","","","OK","636","Morpho md","2143SMP0000169","10.254.218.125","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4407","51","""2026-07-26T09:47:11.537Z""","""2026-07-26T09:47:11.537Z""","1302","","","OK","1176","Morpho md","2142SMP0000276","10.254.218.133","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4408","51","""2026-07-26T09:48:10.694Z""","""2026-07-26T09:48:10.694Z""","1301","","","OK","1175","Morpho md","2143SMP0000152","10.254.218.132","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4409","51","""2026-07-26T09:48:48.054Z""","""2026-07-26T09:48:48.054Z""","1300","","","OK","1174","Morpho md","2143SMP0000329","10.254.218.131","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4410","51","""2026-07-26T09:50:23.538Z""","""2026-07-26T09:50:23.538Z""","1299","","","OK","1173","Morpho md","2147SMP0000073","10.254.218.130","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
