"inspectionId","technicianId","deviceId","deviceCode","deviceName","serialNumber","barcode","gateId","gateNo","glassId","taskId","taskAssignedToId","taskItemId","taskItemAssignedToId","taskItemCompletedById","inspectionStatus","inspectedAt","createdAt","updatedAt","locationText","issueReason","notes"
"4392","46","295","154","Morpho md","2234SMP0002333","154","","","","","","","","","OK","""2026-07-26T08:06:52.639Z""","""2026-07-26T08:06:52.639Z""","""2026-07-26T08:06:52.639Z""","Device code: 154","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4393","46","294","153","Morpho md","2234SMP0002869","153","","","","","","","","","OK","""2026-07-26T08:07:21.312Z""","""2026-07-26T08:07:21.312Z""","""2026-07-26T08:07:21.312Z""","Device code: 153","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4394","46","295","154","Morpho md","2234SMP0002333","154","","","","","","","","","OK","""2026-07-26T08:08:01.054Z""","""2026-07-26T08:08:01.054Z""","""2026-07-26T08:08:01.054Z""","Device code: 154","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4395","46","475","337","Morpho md","2223SMP0000469","337","","","","","","","","","OK","""2026-07-26T08:08:30.467Z""","""2026-07-26T08:08:30.467Z""","""2026-07-26T08:08:30.467Z""","Device code: 337","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4396","46","476","338","Morpho md","2238SMP0000797","338","","","","","","","","","OK","""2026-07-26T08:09:01.603Z""","""2026-07-26T08:09:01.603Z""","""2026-07-26T08:09:01.603Z""","Device code: 338","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4397","46","477","339","Morpho md","2234SMP0002647","339","","","","","","","","","OK","""2026-07-26T08:09:18.597Z""","""2026-07-26T08:09:18.597Z""","""2026-07-26T08:09:18.597Z""","Device code: 339","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4398","46","293","152","Morpho md","2237SMP0001441","152","","","","","","","","","OK","""2026-07-26T08:11:55.889Z""","""2026-07-26T08:11:55.889Z""","""2026-07-26T08:11:55.889Z""","Device code: 152","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4405","46","775","637","Morpho md","2124SMP0000724","637","","","","","","","","","OK","""2026-07-26T09:45:43.567Z""","""2026-07-26T09:45:43.567Z""","""2026-07-26T09:45:43.567Z""","Device code: 637","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4418","46","1601","1480","Morpho md","2125smp0000488","1480","","","","","","","","","OK","""2026-07-26T10:22:19.109Z""","""2026-07-26T10:22:19.109Z""","""2026-07-26T10:22:19.109Z""","Device code: 1480","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4419","46","1600","1479","Morpho md","2147smp0000837","1479","","","","","","","","","OK","""2026-07-26T10:22:31.428Z""","""2026-07-26T10:22:31.428Z""","""2026-07-26T10:22:31.428Z""","Device code: 1479","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
